place,like,content,tag,date
파운즈 - Poundz,479,#해방촌_액자뷰_루프탑카페🌆해방촌에서 뷰 제일 이쁨⠀모든 약속 해방촌으로 잡는해방촌에 미친자가 추천합니다.⠀해방촌 최애이자 최고의 뷰를 자랑하는숨겨진 신상 카페 ‘파운즈’⠀사람 많다고 실망하지 마세요아래층에 숨겨진 공간이 있습니다.(메인 사진 아래층인 건 안비밀😉)⠀📍장소해방촌[파운즈]⠀🕰영업시간평일 14:00-22:00주말 12:30-22:00(매주 월요일 휴무)⠀📋추천 메뉴아메리카노 5.0바닐라라떼 6.0⠀#해방촌카페#해방촌카페추천#해방촌#해방촌루프탑#해방촌오거리#이태원카페#이태원카페추천#이태원#후암동카페,"['#해방촌_액자뷰_루프탑카페🌆해방촌에서', '#해방촌카페', '#해방촌카페추천', '#해방촌', '#해방촌루프탑', '#해방촌오거리', '#이태원카페', '#이태원카페추천', '#이태원', '#후암동카페']",2021-11-25
Take a Shower,300,"#takeashower//// / //////@cafe_takeashower _모던하고 세련된 느낌이 좋은 테이크어샤워,시그니처 ‘크림샤워’ 드셔보세요 🥛_📍 서울 송파구 송파대로47길 1 1F⏰ 매일 12:00 - 22:00🔖 #잠실마카롱 , 크림샤워 , 포레스트샤워","['#takeashower////', '#잠실마카롱']",2020-01-18
Hell cafe,784,"서울. 용산. 보광동에 위치한 #헬카페로스터즈. since2013. 재방문. 원두의 자부심으로 승부 보는 집. 주문부터 고소한 맛, 깊은 맛 원두를 고르게 되어있음. 헬라떼나 헬카푸치노를 주문하면 자리에 직접 오셔서 따뜻한 우유를 부어주시고 바로 마시게끔 한다. 뜨겁지 않은 우유거품 사이로 스며드는 커피의 풍미가 좋았던 기억. 더 느낄 것도없이 원샷이 가능한 커피. 다른 재료 없이 당근만 100% 들어가있다는 당근주스는 자연의 단맛이 나고 매끄럽게 넘어가는 목 넘김이 좋았음. 휴롬으로 잘 착즙하신듯^^ 맛있게 잘먹고 갑니다. 제 점수는요~ 5점만점에 4점 드릴게요~^^",['#헬카페로스터즈.'],2021-10-22
Coffee and Cigarettes,210,이런 점심도 가끔은 괜찮네 :) 🖤1일 1시가렛 실천중...#시청역카페 #시청카페 #시청역맛집 #시청역혼밥 #베이글 #베이글맛집 #서울맛집 #서울카페 #서울카페추천 #뷰좋은카페 #일상 #먹스타그램 #카페 #카페스타그램 #서울커피맛집 #커피시가렛 #카페시가렛 #coffeecigarettes #☕️,"['#시청역카페', '#시청카페', '#시청역맛집', '#시청역혼밥', '#베이글', '#베이글맛집', '#서울맛집', '#서울카페', '#서울카페추천', '#뷰좋은카페', '#일상', '#먹스타그램', '#카페', '#카페스타그램', '#서울커피맛집', '#커피시가렛', '#카페시가렛', '#coffeecigarettes', '#☕️']",2020-08-11
Mosaic / 모자이크,420,"레코드 판이 가득하고 음악과 함께하는 분위기맛집, 커피맛집 모자이크(mosaic)🔖하루종일 수다를 떨어도 시간 가는줄 몰랐던 행복도 공존하는 장소 다들 메모,,✨ (드랍 더 비트~🎤)",[],2020-10-13
P3R:C,132,"P3R:C COFFEE®마지막 한모금까지 드셔야 비로소 전해지는펄시커피의 #Attitude toward coffee~:)#커피성지 #서울커피맛집 는 자신있게 P3R:C☕️100% SPECIALTY COFFEEMATTHIAS BEAN•INDIA, ETHIOPIA, COLOMBIASTELLA BEAN•ETHIOPIA KOKE HONEYSINGLE BEAN LINE UP•NICARAGUA•KENYA•COLOMBIA (DECAF)문의 사항은 DM 부탁드립니다.“Take a close look at P3R:C’ssincere attitude toward coffee.”스페셜티 커피 & 디저트—————————————————-1F_P3R:C Coffee,  2F_Brand Shop•주소 : 서울 중구 동호로 20길 34-57•영업시간- 월~금 10:30~19:30- 토~일 11:00~18:30•휴무 : 인스타 및 네이버 공지Mon to Fri I 10:30am - 7:30pmSat to Sun I 11:00am - 6:30pm1F P3R:C Coffee I 2F Brand Shop—————————————————-#펄시커피 #p3rc_coffee","['#Attitude', '#커피성지', '#서울커피맛집', '#펄시커피', '#p3rc_coffee']",2021-09-18
,12,서울 망원동 딥블루레이크☕️ 아이스라떼맛집🤤따뜻한 라떼보다 아이스가 향이 훨씬 진하게 난다! 간만에 마신 진하고 맛있는 카페라떼🐷 #서울커피맛집 #망원동커피 #망원동커피맛집 #망원동라떼맛집 #서울라떼맛집 #딥블루레이크 #망원동카페 #망원동카페추천,"['#서울커피맛집', '#망원동커피', '#망원동커피맛집', '#망원동라떼맛집', '#서울라떼맛집', '#딥블루레이크', '#망원동카페', '#망원동카페추천']",2021-11-28
리사르커피,706,"서울. 중구. 신당동에 위치한 #리사르커피 본점. since2013. 공방에서 부터 왕십리를 거쳐 지금의 자리^^ 스트라파짜토, 콘판나, 피에노. 이것저것 마셔봤는데 진하고 쌉쌀한 에스프렛소에 카카오가루를 뿌린 피에노가 젤 맛있었음. 부드러운 목넘김에 달달하고 고소한 뒷맛으로 또 한 잔을 다시 주문하게 되는 마법의 커피. 먹다보면 쌓여만 가는 잔. 맛있게 잘먹고 갑니다. 제 점수는요~ 5점만점에 4.5점 드릴게요~^^",['#리사르커피'],2021-11-28
아키비스트-Cafearchivist,50,눈치게임 성공으로 대기없이 맛본 아인슈페너 맛집🧡,[],2021-11-28
,17,#스몰배치서울#멜버른커피#멜번맛집#압구정로데오역맛집#압구정로데오맛집#압구정맛집#압구정로데오역카페#압구정로데오신상카페#smallbatchseoul#피넛버터라떼#penutbutterlatte#플랫화이트#플랫화이트맛집#flatwhite#서울커피맛집#커피투어#카페투어#남타커#그녀가사는법_카페#그녀가사는법_압구정로데오#그녀가사는법_압구정호주 멜버른에 위치한커피 로스터리가압구정 로데오에 상륙 정말 꾸덕하면서 달콤한 피넛버터 크림이 잔뜩 올려진 꼬소하고 진한 플랫화이트와 찰떡궁합 ■ P.S까눌레 브라우니 맛집자리 매우 협소함으로테이크 아웃을 노릴 것 !,"['#스몰배치서울', '#멜버른커피', '#멜번맛집', '#압구정로데오역맛집', '#압구정로데오맛집', '#압구정맛집', '#압구정로데오역카페', '#압구정로데오신상카페', '#smallbatchseoul', '#피넛버터라떼', '#penutbutterlatte', '#플랫화이트', '#플랫화이트맛집', '#flatwhite', '#서울커피맛집', '#커피투어', '#카페투어', '#남타커', '#그녀가사는법_카페', '#그녀가사는법_압구정로데오', '#그녀가사는법_압구정호주']",2021-11-28
,18,#스몰배치서울#멜버른커피#멜번맛집#압구정로데오역맛집#압구정로데오맛집#압구정맛집#압구정로데오역카페#압구정로데오신상카페#smallbatchseoul#피넛버터라떼#penutbutterlatte#플랫화이트#플랫화이트맛집#flatwhite#서울커피맛집#커피투어#카페투어#남타커#그녀가사는법_카페#그녀가사는법_압구정로데오#그녀가사는법_압구정호주 멜버른에 위치한커피 로스터리가압구정 로데오에 상륙 정말 꾸덕하면서 달콤한 피넛버터 크림이 잔뜩 올려진 꼬소하고 진한 플랫화이트와 찰떡궁합 ■ P.S까눌레 브라우니 맛집자리 매우 협소함으로테이크 아웃을 노릴 것 !,"['#스몰배치서울', '#멜버른커피', '#멜번맛집', '#압구정로데오역맛집', '#압구정로데오맛집', '#압구정맛집', '#압구정로데오역카페', '#압구정로데오신상카페', '#smallbatchseoul', '#피넛버터라떼', '#penutbutterlatte', '#플랫화이트', '#플랫화이트맛집', '#flatwhite', '#서울커피맛집', '#커피투어', '#카페투어', '#남타커', '#그녀가사는법_카페', '#그녀가사는법_압구정로데오', '#그녀가사는법_압구정호주']",2021-11-28
구테로이테 gute Leute,62,나드으리_! two#구테로이테,['#구테로이테'],2021-11-27
신사동가로수길,11,너무 재미있어서 시간가는줄 모르쟈나 💙#미야갤러리카페 ☕️,['#미야갤러리카페'],2021-11-27
어딕티브,146,"힙한 커피와 디저트 맛집☕🧇 #어딕티브 -반포동🏠- 이곳은 논현역 근처 작은 카페 '어딕티브'에요. 논현동 가구거리 쪽에 들렸다가 예쁜 카페를 가고 싶어 일부러 찾아간 곳이었어요.👣 근처 전시 갔다 얻은 @nanankang 작가님의 낙엽 스티커로 꾸며 봤는데, 가을이 떠나버리기 전에 얼른 올려봅니다..😅🍁 카페는 세 테이블 정도 있는 작은 공간인데 힙하게 꾸며져 있고 아늑한 맛이 있는 곳이었어요.😗 분명 mbti 유형이 E로 시작하실 거 같은 친절한 사장님이 운영중이세요! 다른 직원분들도 친절하셨어요.👍 제가 마신 커피 외에도 인절미노, 블랙앤화이트 라떼 등의 시그니쳐 커피가 많으니 참고하세요!💫-MENU📋☕코코넛 크림 커피(6.0￦) -코코넛 우유에 아인슈패너에 올라가는 크림, 아몬드 토핑이 올라간 커피!🥥 그래서 우유를 못드시는 분들도 거부감 없이 드실 수 있는 메뉴랍니다.👍 아인슈페너와 달리 이 커피는 완전히 다 섞어서 드셔야 맛있는 커피랍니다!☝ 그래서 사진 찍고나서 스푼으로 막 저어 마셨던 기억이 나네요.🥄 코코넛의 오묘한 향이 느껴지는 매력적인 커피였어요.😋🍞카야 버터 토스트(5.5￦) -카야잼에 차가운 이즈니 버터가 들어가 시원한 느낌의 토스트였어요. 따뜻한 토스트를 기대했다면 조금 실망했을 수 있겠지만, 앙버터를 먹는 듯한 느낌 나쁘지 않았어요.😚 +크로플도 정말 맛있고 가격대비 좋아 보이던데 추천해요!🧇-총평:🌟🌟🌟🌟⭐(4.3/5) 맛, 가격, 분위기&서비스 모두 만족한 곳! 게다가 1인 1음료 주문을 강요하지 않으셔서 맘편히 '1인 1메뉴' 하고 왔어요. 다음에도 또 가보고 싶은 곳이에요! 근처 카페로 추천드려요.🙆‍♀️-#addictive #cafeaddictive@addictive.seoul","['#어딕티브', '#addictive', '#cafeaddictive@addictive.seoul']",2021-11-27
에디션덴마크,11,나도 다음달이면 덴마크다-!,[],2021-11-26
강동역,33,커볶아 크리스마스 준비중이에요🎄💚유럽 분위기 느끼고싶으시면 강동점 커볶아로 오세요♥️,[],2021-11-26
Yeouido,13,#드디어_금요일고생하셨습니다☺️⠀오늘 방문해 주시는 고객님들의 표정이다들 너무 밝길래 오늘 무슨 날인가 했더니바로 바로 금요일 :)⠀한 주간 정말 고생 많으셨습니다!다음 주를 위해 주말 푹 쉬시고월요일에 뵙겠습니다:)⠀앗! 그리고 여의도 파란만잔은 주말에도활짝 열려있는 거 잊지 말아 주세용😗❤️⠀#여의도카페#여의도커피#여의도카페추천#여의도파란만잔#파란만잔#테이크아웃카페,"['#드디어_금요일고생하셨습니다☺️⠀오늘', '#여의도카페', '#여의도커피', '#여의도카페추천', '#여의도파란만잔', '#파란만잔', '#테이크아웃카페']",2021-11-26
,61,.이틀동안 새벽출근 🙊🙊#카페오르막길 #샌드위치 #샌드위치단체주문 #서울역 #서울로카페 #서울역카페 #서울로맛집 #서울로카페 #아현동카페 #아현카페 #충정로카페 #서울커피맛집 #커피맛집 #샌드위치맛집 #데일리 #카페추천 #원두맛집 #원두맛있는집 #단체주문 #단체주문환영 #단체주문추천,"['#카페오르막길', '#샌드위치', '#샌드위치단체주문', '#서울역', '#서울로카페', '#서울역카페', '#서울로맛집', '#서울로카페', '#아현동카페', '#아현카페', '#충정로카페', '#서울커피맛집', '#커피맛집', '#샌드위치맛집', '#데일리', '#카페추천', '#원두맛집', '#원두맛있는집', '#단체주문', '#단체주문환영', '#단체주문추천']",2021-11-26
강동역,23,🔔 강동점 커피볶는 아침 오늘의 원두 바뀌었습니다 🔔,[],2021-11-26
Camel cafe 청담,78,사진에 겨울냄새랑 캐롤소리도 찍힌 거 같다🪄🐻🤎,[],2021-11-25
메쉬커피 Meshcoffee,284,📌#메쉬커피📍지번: 서울 성동구 성수동1가 685-307📍도로명: 서울 성동구 서울숲길 43✅공휴일 휴무✅평일 08:30 - 17:00✅토요일 10:00 - 18:00✅일요일 12:00 - 17:00@meshcoffee,['#메쉬커피📍지번:'],2021-05-23
Protokoll Roasters,84,"#좋아하는연희동 #프로토콜• 서울 서대문구 연희로 109 2층• 매일 10:30 - 22:00• 모두가 자신의 작업물을 쌓아가는 공간 카페 프로토콜🙆‍♂️너에게• 작업에 몰두하고 싶은 너에게• 커피에 진심인 너에게• 공간에 진심인 너에게• 로스터리 카페를 찾는 너에게• 오래 머물고 싶은 너에게 ☕️ 시그니처 메뉴 • 필터커피 (7.0) • 아메리카노 (4.5)• 카페라떼 (5.0)✍️참고• 프로토콜의 진정성을 느끼고 싶으시다면, 프로토콜 계정으로 들어가보시고 글을 읽어보세요. • 작업을 하러 오시는 분들이 오시기 때문에 회전율이 좋지 않아서 웨이팅 시간이 길 수 있습니다💘 분위기 • 열정, 열두, 집중 오롯이 본인의 시간으로 꽉 채울 수 있는 분위기• 오래 앉아 얘기 나눌 수 있는 분위기🪑 공간• 넓직한 테이블, 자리마다 조명과 콘센트가 있어서 작업하기 좋은 공간.• 앉아있다보니 마치 제가 건축이나 디자인을 공부하는 학생이 되어 작업을 하는 것처럼 느껴졌어요🚘 주차는 어디에?• 주차 불가 (근처 공영주차장 이용)✏ Comment: 포로토콜은 마냥 핫플, 인스타 감성으로 칭하는 것은 잘못되었다고 생각합니다. 프로토콜의 진정한 매력은 누군가는 자기 작업에 몰두하는 공간, 누군가는 한잔의 커피를 위해 몰두하고, 그렇게 매일 자신들의 기록을 쌓아가고, 그렇게 함께 성장할 수 있는 공간을 만들고자 한 기획자의 꿈이 담긴 공간이라는 것을 아신다면 프로토콜에 가신 여러분께 또 다른 매력으로 다가오지 않을까 합니다.어쩌면 앞으로 제 인생의 완성된 기록물에서 많은 페이지들이 프로토콜 안에서 함께 만들어가지지 않을까 합니다.👌 또 갈래 (❤❤❤❤❤)","['#좋아하는연희동', '#프로토콜•']",2021-11-25
,47,나이가 들어도 캐롤에 설레는 건 어쩔 수 없나보다.,[],2021-11-24
,26,#마곡맛집#양꼬치맛집#장성양갈비양꼬치#마곡카페#서울커피맛집#마곡카페#오지오카페#크림라떼퇴근후 그녀들과의 수다는...오늘 하루의 숨 ㅋㅋ -맛집일기-,"['#마곡맛집', '#양꼬치맛집', '#장성양갈비양꼬치', '#마곡카페', '#서울커피맛집', '#마곡카페', '#오지오카페', '#크림라떼퇴근후']",2021-11-24
,23,_이 시간에 여기 아메리카노랑 치즈케이크 먹고 싶다,[],2021-11-24
서울 당산동,123,"#첫줄안녕 앤티크의 더티앤크림 이 커피가 유명해서 그맛이 궁금해서 갔던..크림이 잔뜩 올라간 비쥬얼에서 이건 제대로구나.. 라는 느낌이 왔다.말해 뭐해! 이건 직접 가서 맛봐야 할 맛!▪️앤티크커피▫️서울시 영등포구 국회대로 29길 6▪️운영시간  매일 7:30~21:00▫️Signature menu  더티앤크림 :6,000원  더티소이: 6,000원#영등포카페 #당산역카페 #앤티크커피","['#첫줄안녕', '#영등포카페', '#당산역카페', '#앤티크커피']",2021-11-24
종각역,300,"#정혜_종각오늘 일찍 자긴 글렀다,,,😖오랜만에 방문한 종각에서 에스프레소 한잔☕에스프레소바가 하나의 트렌드로 자리잡을지, 잠시 핫하다 없어질지 나도 잘 모르겠지만 최근 방문했던 에스프레소바들은 다 맛이 좋았기에 오래 지속되길 바라는 마음이다 (제가 자주 갈게요🙂!!)80년대 감성이 고스란히 묻어있는 <오우야에스프레소바>달달하게 먹고 싶어 쇼콜라토를 주문했는데 별 생각없이 고른 디저트마저 넘 달아서 조합은 실패🙈그러나 커피맛만은 성공적💜✔카페크렘 3,200원 - 다크초코의 쌉사름한 단맛을 살린 에스프레소✔쇼콜라토 4,000원- 밀크초코 베이스의 입문용 에스프레소✔버-터 코코넛 바(말차) 2,800원 - 달아서 단 커피랑은 쏘쏘#에스프레소바 #오우야 #종각오우야 #종로오우야 #에스프레소추천 #서울커피맛집 #카페투어 #서울카페투어 #커피스타그램 #커피추천 #디저트 #디저트스타그램 #종각카페 #종로카페 #서울카페추천 #쇼콜라토맛집 #카페크렘 #에스프레소맛집 #먹스타 #먹팔","['#정혜_종각오늘', '#에스프레소바', '#오우야', '#종각오우야', '#종로오우야', '#에스프레소추천', '#서울커피맛집', '#카페투어', '#서울카페투어', '#커피스타그램', '#커피추천', '#디저트', '#디저트스타그램', '#종각카페', '#종로카페', '#서울카페추천', '#쇼콜라토맛집', '#카페크렘', '#에스프레소맛집', '#먹스타', '#먹팔']",2021-11-24
,11,#파란만잔은_지금늦가을 현재진행형🍂⠀점점 쌀쌀해지는 날씨파란만잔에서 따뜻한 커피로몸도 마음도 녹이고 가세여 :)⠀#파란만잔#파란만잔카페#여의도카페#여의도커피#여의도카페맛집#카페신메뉴#늦가을#커피맛집#따뜻한커피,"['#파란만잔은_지금늦가을', '#파란만잔', '#파란만잔카페', '#여의도카페', '#여의도커피', '#여의도카페맛집', '#카페신메뉴', '#늦가을', '#커피맛집', '#따뜻한커피']",2021-11-24
,16,#파란만잔은_지금늦가을 현재진행형🍂⠀점점 쌀쌀해지는 날씨파란만잔에서 따뜻한 커피로몸도 마음도 녹이고 가세여 :)⠀#파란만잔#파란만잔카페#상암카페#강남카페#여의도카페#카페신메뉴#늦가을#커피맛집#따뜻한커피,"['#파란만잔은_지금늦가을', '#파란만잔', '#파란만잔카페', '#상암카페', '#강남카페', '#여의도카페', '#카페신메뉴', '#늦가을', '#커피맛집', '#따뜻한커피']",2021-11-24
Beonty Coffee,936,야 권똥개!!!문앞에서 그러고 있음 손님들 들어오다 놀래서 나가것어....😍(절대 시킨거 아님)#beontycoffee #beonty#버티고개카페 #버티고개맛집 #반려견동반카페 #애견동반카페 #신상카페#서울커피맛집 #디저트카페,"['#beontycoffee', '#beonty', '#버티고개카페', '#버티고개맛집', '#반려견동반카페', '#애견동반카페', '#신상카페', '#서울커피맛집', '#디저트카페']",2021-11-24
,11,🍫NEW MENU🫖얼그레이 초코🍫🫖얼그레이와 초코의 조합은언제나 환상인거 아시죠~?!얼그레이 초코는 찐맛집 아니면찾기 어려운거 아시나요~?😆연구한 끝에 얼그레이도 초코도진한맛으로 즐기실 수 있습니다🤗이 메뉴는 꼭 드셔보세요!제 최애메뉴에요🥰#레이지앤코 #레이지앤코서울 #lazyandco #lazyandcoseoul #서울커피맛집 #서울카페#용산커피맛집 #용산디저트 #신용산디저트 #용산핫플레이스 #신용산핫플레이스#얼그레이 #얼그레이초코 #밀크티맛집#원두맛집 #원두맛있는카페,"['#레이지앤코', '#레이지앤코서울', '#lazyandco', '#lazyandcoseoul', '#서울커피맛집', '#서울카페', '#용산커피맛집', '#용산디저트', '#신용산디저트', '#용산핫플레이스', '#신용산핫플레이스', '#얼그레이', '#얼그레이초코', '#밀크티맛집', '#원두맛집', '#원두맛있는카페']",2021-11-24
,11,_ 락떼스피릿☕️ 개인적 Top 3 “라떼 베이스 아인슈페너” 🤎,[],2021-11-24
,66,내가 지금 띵가띵가 술 먹고 다닐 때가 아니구나?(내일 또 술토리 올라올 예정),[],2021-11-23
"Seoul, South Korea",14,#성수동카페#업사이드성수#아이스아메리카노맛집#서울커피맛집#성수동소문난감자탕#뼈해장국#오늘저녁메뉴#단골맛집#명동#런치는칼국수#명동교자#쓸쓸한명동거리,"['#성수동카페', '#업사이드성수', '#아이스아메리카노맛집', '#서울커피맛집', '#성수동소문난감자탕', '#뼈해장국', '#오늘저녁메뉴', '#단골맛집', '#명동', '#런치는칼국수', '#명동교자', '#쓸쓸한명동거리']",2021-11-23
itslitcoffee,86,[It's LIT!]안녕하세요. 잇츠릿입니다.따뜻한 아메리카노 한 잔 잡고 있으니 손도 따뜻하고 속도 따뜻하네요'노란색.'원두는 부드러운 질감에자극적이지 않은 산미로 레몬 캔디의 느낌이 도드라지는 커피입니다.테이크 아웃하시면 노란색 컵을 끼워서 나갑니다. 지독한 컨셉충...🤣판매 준비 완료입니다....#잇츠릿 #잇츠릿커피 #itslit #itslitcoffee,"['#잇츠릿', '#잇츠릿커피', '#itslit', '#itslitcoffee']",2021-11-23
Deepbluelake 딥블레 카페,248,딥블루레이크.쌉싸름한 에스프레소와 커피 맛이 더 강하게 느껴질 정도의 우유 양. 적당한 플랫 화이트의 맛.늦은 오후라 커피를 피하고 싶었으나 마셔 보길 잘 했다.@deepbluelakecoffee + 서울 마포구 포은로 6길 11+ 11:00-21:30 (매일)#딥블루레이크커피로스터스 #딥블루레이크 #딥블루레이크카페 #플랫화이트 #에스프레소 #망원동카페 #망리단길카페 #망원시장 #망원역카페 #마포구카페 #유럽감성카페 #로스터리카페 #서울커피맛집 #카페탐방 #카페스타그램 #deepbluelake #deepbluelakecoffee #mangwon #mangwondong #mangwonmarket #seoulmarket #seoulcafe #flatwhite,"['#딥블루레이크커피로스터스', '#딥블루레이크', '#딥블루레이크카페', '#플랫화이트', '#에스프레소', '#망원동카페', '#망리단길카페', '#망원시장', '#망원역카페', '#마포구카페', '#유럽감성카페', '#로스터리카페', '#서울커피맛집', '#카페탐방', '#카페스타그램', '#deepbluelake', '#deepbluelakecoffee', '#mangwon', '#mangwondong', '#mangwonmarket', '#seoulmarket', '#seoulcafe', '#flatwhite']",2021-11-23
itslitcoffee,83,[It's LIT!]안녕하세요.잇츠릿입니다.영하의 기온으로 날씨가 내려갔습니다.손을 밖으로 빼기 힘든 계절이 왔네요.낙엽은 바닥을 뒹구네요.감기 걸리기 쉬운 날씨이니 따뜻한 커피로 몸을 따스하게 녹이는게 좋을것 같네요.따뜻한 음료 준비 되어 있으니 언제든지 방문 해주세요.🤟🏽오늘도 잇츠릿은 활짝 열려있습니다.🙇‍♂️...#잇츠릿 #잇츠릿커피 #itslit #itslitcoffee,"['#잇츠릿', '#잇츠릿커피', '#itslit', '#itslitcoffee']",2021-11-23
